CompetenciaIndices,SalarioMinimo,SMReferencia,TetoContribuicao,TetoBeneficio,DataBase,FatorIntegral,FatorProporcional,MultiplicadorMoeda,AjusteMoeda,IndiceAtualizacao,IndiceAcumulado,IndiceRes134,IndiceRes134Acumulado,IndiceSalarios,IndiceSCAcumulado,IPCA,IPCAE,IndiceCondenatorias,IndiceCondenatoriasAcumulado,Selic,Juros
02/1973,"268,8",-,2688,2688,FALSE,-,-,1,"0,000001","1,0104792511","1,5704171206","1,0104792511","0,7853577891","1,0104792511","1222890,43738697",-,-,"1,0104792511","0,0011168724","0,00%","1,0000%"
03/1973,"268,8",-,2688,2688,FALSE,-,-,1,"0,000001","1,0120298673","1,5541309918","1,0120298673","0,7772131771","1,0120298673","1210208,36011872",-,-,"1,0120298673","0,0011052898","0,00%","1,0000%"
04/1973,"268,8",-,2688,2688,FALSE,-,-,1,"0,000001","1,0114769777","1,535657239","1,0114769777","0,7679745453","1,0114769777","1195822,77092206",-,-,"1,0114769777","0,0010921514","0,00%","1,0000%"
05/1973,312,-,3120,3120,FALSE,-,-,1,"0,000001","1,012697555","1,5182325182","1,012697555","0,7592605291","1,012697555","1182254,06732116",-,-,"1,012697555","0,001079759","0,00%","1,0000%"
06/1973,312,-,5200,5200,FALSE,-,-,1,"0,000001","1,0110710951","1,4991963895","1,0110710951","0,7497406559","1,0110710951","1167430,55360525",-,-,"1,0110710951","0,0010662206","0,00%","1,0000%"
07/1973,312,-,6240,6240,FALSE,-,-,1,"0,000001","1,0089709763","1,4827803869","1,0089709763","0,7415310946","1,0089709763","1154647,34305786",-,-,"1,0089709763","0,0010545456","0,00%","1,0000%"
08/1973,312,-,6240,6240,FALSE,-,-,1,"0,000001","1,0083682008","1,46959667","1,0083682008","0,7349379834","1,0083682008","1144381,12714155",-,-,"1,0083682008","0,0010451694","0,00%","1,0000%"
09/1973,312,-,6240,6240,FALSE,-,-,1,"0,000001","1,0097251037","1,457400847","1,0097251037","0,728838913","1,0097251037","1134884,18832709",-,-,"1,0097251037","0,0010364958","0,00%","1,0000%"
10/1973,312,-,6240,6240,FALSE,-,-,1,"0,000001","1,0068062155","1,4433639826","1,0068062155","0,7218191469","1,0068062155","1123953,62275312",-,-,"1,0068062155","0,0010265129","0,00%","1,0000%"
11/1973,312,-,6240,6240,FALSE,-,-,1,"0,000001","1,0085459184","1,4336065475","1,0085459184","0,7169395022","1,0085459184","1116355,46688502",-,-,"1,0085459184","0,0010195734","0,00%","1,0000%"
12/1973,312,-,6240,6240,FALSE,-,-,1,"0,000001","1,0196028835","1,421458876","1,0196028835","0,7108645121","1,0196028835","1106896,02382428",-,-,"1,0196028835","0,0010109341","0,00%","1,0000%"
01/1974,312,-,6240,6240,FALSE,-,-,1,"0,000001","1,0105432895","1,3941299098","1,0105432895","0,697197432","1,0105432895","1085614,8425178",-,-,"1,0105432895","0,0009914979","0,00%","1,0000%"
02/1974,312,-,6240,6240,FALSE,-,-,1,"0,000001","1,0149748374","1,3795845504","1,0149748374","0,6899233702","1,0149748374","1074288,30985375",-,-,"1,0149748374","0,0009811533","0,00%","1,0000%"
03/1974,312,-,6240,6240,FALSE,-,-,1,"0,000001","1,0125770952","1,3592302978","1,0125770952","0,6797443097","1,0125770952","1058438,36744208",-,-,"1,0125770952","0,0009666774","0,00%","1,0000%"
04/1974,312,-,6240,6240,FALSE,-,-,1,"0,000001","1,0163621163","1,342347466","1,0163621163","0,6713012895","1,0163621163","1045291,63506253",-,-,"1,0163621163","0,0009546705","0,00%","1,0000%"
05/1974,"376,8",-,7536,7536,FALSE,-,-,1,"0,000001","1,0212690952","1,3207374069","1,0212690952","0,6604942065","1,0212690952","1028463,79087879",-,-,"1,0212690952","0,0009393015","0,00%","1,0000%"
06/1974,"376,8",-,7536,7536,FALSE,-,-,1,"0,000001","1,0332527902","1,2932315421","1,0332527902","0,6467386603","1,0332527902","1007044,85794253",-,-,"1,0332527902","0,0009197395","0,00%","1,0000%"
07/1974,"376,8",-,7536,7536,FALSE,-,-,1,"0,000001","1,043986637","1,2516119524","1,043986637","0,6259249106","1,043986637","974635,507837255",-,-,"1,043986637","0,0008901398","0,00%","1,0000%"
08/1974,"376,8",-,7536,7536,FALSE,-,-,1,"0,000001","1,04768","1,1988773688","1,04768","0,5995526077","1,04768","933570,865107045",-,-,"1,04768","0,0008526353","0,00%","1,0000%"
